ID,Degree,Closeness centrality,Clustering coefficient
182,6,0.25835294117647056,0
183,2,0.2747747747747748,0
184,5,0.25738396624472576,0
185,3,0.24281291463954002,0
186,3,0.2576255279211638,0
187,3,0.25,0
188,3,0.25738396624472576,0
189,3,0.2535796766743649,0
190,2,0.25534883720930235,0
191,3,0.2826982492276004,0
192,2,0.2772727272727273,0
193,3,0.25594405594405595,0
194,2,0.3038184836745988,0
195,2,0.2903225806451613,1.0
196,3,0.23572348647488192,0
197,3,0.25195043597980726,0
198,3,0.31087202718006796,0
199,4,0.2516040329972502,0
200,3,0.25920679886685555,0
201,2,0.23963334788302051,0
202,5,0.2658595641646489,0
203,2,0.2398427260812582,0
204,4,0.29202127659574467,0
205,2,0.24057843996494302,0
206,4,0.24057843996494302,0
207,4,0.2484162895927602,0
208,2,0.2824074074074074,0
209,3,0.2509140767824497,0
210,5,0.25546765937645416,0
211,2,0.24596774193548387,0
212,3,0.22999581064097194,0
213,3,0.28549141965678626,0
214,3,0.28698379508625194,0
215,2,0.2633093525179856,0
216,7,0.2521819016995866,0
217,2,0.23582474226804123,0
218,2,0.24931880108991825,0
219,4,0.3029801324503311,0
220,2,0.2600663192799621,0
221,3,0.2672833495618306,0.3333333333333333
222,6,0.30999435347261434,0
223,3,0.2387994780339278,0
224,2,0.3070469798657718,0
225,2,0.26205250596658713,0
226,2,0.2514887769125057,0
227,5,0.2585963259538389,0
228,5,0.2779746835443038,0
229,4,0.25786754344762797,0
230,3,0.2729985082048732,0
231,2,0.30894766460326395,0
232,2,0.24752028854824165,0
233,2,0.28401448525607864,0
234,2,0.21639731966890027,0
235,4,0.30398671096345514,0.16666666666666666
236,3,0.24965893587994542,0
237,2,0.26483357452966716,0
238,3,0.29967248908296945,0
239,3,0.25346260387811637,0
240,2,0.25404905136510875,0
241,2,0.23341836734693877,0
242,2,0.22217725617159045,0
243,3,0.2745,0
244,6,0.2805314256515074,0
245,2,0.2264851485148515,0
246,3,0.2342150170648464,0
247,2,0.28197226502311246,0
248,2,0.25393154486586494,0
249,4,0.3056792873051225,0
250,2,0.26356216994719156,0
251,4,0.2675438596491228,0
252,3,0.31551724137931036,0
253,3,0.30016402405686166,0.3333333333333333
254,8,0.27057663873829474,0
255,2,0.28653444676409184,0
256,2,0.2398427260812582,0
